league,method,n_games,complete_games,games_with_any_point,games_with_regulation_clock,games_excluded_incomplete_clock,n_published_updates,median_updates_per_game,q25_updates_per_game,q75_updates_per_game
nba,linear,8276,8265,8265,8276,11,3877820,466,447,488
nba,locf,8276,8265,8265,8276,11,3877820,466,447,488
