minute_bin,n,n_games,mean_p,win_rate,loss_rate,implied_loss,excess_loss,loss_ratio,mean_minutes_remaining
"[-Inf,1)",1464,1451,0.9689303278688525,0.98224043715847,0.017759562841529998,0.031069672131147565,-0.013310109289617485,0.5716044497207909,0.23198428961748632
"[1,2)",350,350,0.9605685714285714,0.9914285714285714,0.008571428571428579,0.0394314285714286,-0.030860000000000044,0.21737555249619595,1.4623333333333333
"[2,5)",835,835,0.9589640718562874,0.9736526946107784,0.02634730538922164,0.04103592814371261,-0.014688622754491036,0.6420545746388457,3.3927944111776447
"[5,10)",1216,1216,0.9571817434210526,0.9202302631578947,0.07976973684210523,0.0428182565789474,0.03695148026315786,1.8629842318551073,7.401611842105263
"[10,24)",2833,2832,0.9550688316272502,0.9149311683727497,0.08506883162725021,0.044931168372749776,0.040137663254500494,1.8933144787493097,16.56897635015884
"[24,48)",1931,1931,0.9533195235629207,0.9119627136198861,0.0880372863801139,0.046680476437079274,0.041356809943034666,1.885955180829818,32.2688969445883
"[48, Inf]",34,34,0.9612058823529411,0.8529411764705882,0.14705882352941174,0.03879411764705886,0.10826470588235292,3.790750568612581,48.404901960784315
