league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nfl,linear,0,0,6,182,0.5863670329670329,0.5659340659340659,-0.020432967032967014,0.5607,0.6087
nfl,linear,1,0.05,4,185,0.47780241396794937,0.4594594594594595,-0.018342954508489828,0.4477564102564102,0.5014347826086956
nfl,linear,2,0.1,5,184,0.5307089265571943,0.4945652173913043,-0.036143709165889874,0.5054999999999998,0.5557500000000001
nfl,linear,3,0.15000000000000002,3,185,0.3976380602082736,0.42162162162162165,0.023983561413348144,0.3609333333333335,0.43302
nfl,linear,4,0.2,4,185,0.45874804531536734,0.41081081081081083,-0.047937234504556656,0.4245405405405406,0.49265348837209305
nfl,linear,5,0.25,5,184,0.5256103260869565,0.5108695652173914,-0.014740760869565207,0.491,0.5574
nfl,linear,6,0.30000000000000004,6,185,0.6003486529100871,0.6,-3.486529100870712e-4,0.5657826086956521,0.6336861111111111
nfl,linear,7,0.35000000000000003,6,185,0.6027848707035747,0.5459459459459459,-0.0568389247576288,0.5577904761904764,0.6443382978723403
nfl,linear,8,0.4,5,184,0.5184030514061939,0.5054347826086957,-0.012968268797498293,0.47800000000000004,0.5602374999999999
nfl,linear,9,0.45,5,184,0.5141663459658183,0.44021739130434784,-0.07394895466147071,0.46947837837837836,0.5578280000000001
nfl,linear,10,0.5,5,185,0.516337837837838,0.5135135135135135,-0.0028243243243243265,0.46,0.5689
nfl,linear,11,0.55,4,185,0.395046819717183,0.3783783783783784,-0.016668441338804706,0.33418181818181825,0.4535499999999999
nfl,linear,12,0.6000000000000001,5,184,0.5079505875878989,0.4945652173913043,-0.013385370196594694,0.4490000000000002,0.5607400000000018
nfl,linear,13,0.65,6,185,0.6230031842633901,0.6432432432432432,0.020240058979853155,0.5577,0.6857
nfl,linear,14,0.7000000000000001,7,185,0.7684743445434254,0.8054054054054054,0.03693106086198025,0.7065847826086955,0.8258500000000003
nfl,linear,15,0.75,5,184,0.5057701086956524,0.5217391304347826,0.015969021739130444,0.415,0.5739999999999998
nfl,linear,16,0.8,6,185,0.65895514692421,0.7297297297297297,0.07077458280551932,0.5821714285714282,0.7370634146341464
nfl,linear,17,0.8500000000000001,5,184,0.49360823783979807,0.5054347826086957,0.011826544768897496,0.3927274999999993,0.5923478260869569
nfl,linear,18,0.9,5,184,0.49652068455056353,0.5543478260869565,0.0578271415363931,0.38184999999999975,0.6117636363636363
nfl,linear,19,0.95,5,185,0.7198908139778765,0.7243243243243244,0.004433510346447755,0.619325,0.8110277777777778
nfl,locf,0,0,6,182,0.5863670329670329,0.5659340659340659,-0.020432967032967014,0.5607,0.6087
nfl,locf,1,0.05,4,185,0.4768783783783785,0.44324324324324327,-0.033635135135135094,0.4466,0.5004
nfl,locf,2,0.1,5,185,0.5322913513513512,0.518918918918919,-0.01337243243243245,0.5091,0.5570000000000002
nfl,locf,3,0.15000000000000002,4,186,0.46875967741935515,0.45161290322580644,-0.017146774193548375,0.433,0.501
nfl,locf,4,0.2,4,184,0.46102228260869593,0.42934782608695654,-0.03167445652173916,0.425,0.499
nfl,locf,5,0.25,5,184,0.5256103260869565,0.5108695652173914,-0.014740760869565207,0.491,0.5574
nfl,locf,6,0.30000000000000004,5,184,0.5270005434782606,0.5217391304347826,-0.005261413043478267,0.489,0.564
nfl,locf,7,0.35000000000000003,6,185,0.6017194594594595,0.5675675675675675,-0.03415189189189194,0.5606,0.6439
nfl,locf,8,0.4,5,184,0.5200945652173915,0.483695652173913,-0.03639891304347826,0.4778,0.5632
nfl,locf,9,0.45,5,184,0.5155581521739129,0.483695652173913,-0.03186250000000001,0.4722,0.5622
nfl,locf,10,0.5,5,185,0.516337837837838,0.5135135135135135,-0.0028243243243243265,0.46,0.5689
nfl,locf,11,0.55,4,185,0.39601567567567586,0.3945945945945946,-0.0014210810810810729,0.33519999999999994,0.4566
nfl,locf,12,0.6000000000000001,5,184,0.5081532608695654,0.4782608695652174,-0.029892391304347794,0.4515,0.5708
nfl,locf,13,0.65,6,185,0.6216151351351351,0.6486486486486487,0.027033513513513532,0.5641,0.6847
nfl,locf,14,0.7000000000000001,7,185,0.7658172972972973,0.8,0.0341827027027027,0.695,0.8254
nfl,locf,15,0.75,5,184,0.5057701086956524,0.5217391304347826,0.015969021739130444,0.415,0.5739999999999998
