favored_bin,n,n_games,mean_p,win_rate,loss_rate,implied_loss,excess_loss,loss_ratio,mean_minutes_remaining
"[0.5,0.6)",678,662,0.9679327433628319,0.9660766961651918,0.033923303834808294,0.03206725663716815,0.0018560471976400818,1.0578798248518977,12.773746312684366
"[0.6,0.7)",593,562,0.9666787521079258,0.9443507588532883,0.05564924114671163,0.03332124789207421,0.022327993254637437,1.6700827450087292,13.697189432265318
"[0.7,0.8)",363,344,0.9662325068870523,0.931129476584022,0.06887052341597794,0.033767493112947675,0.03510303030303029,2.039550972457902,16.37089072543618
"[0.8,0.9)",176,173,0.9627738636363636,0.9829545454545454,0.01704545454545453,0.03722613636363638,-0.020180681818181844,0.4578894349644367,21.768087121212123
"[0.9,1]",32,31,0.959325,0.96875,0.03125,0.04067500000000002,-0.009425000000000024,0.7682851874615855,35.555729166666666
