boundary,threshold,n,n_games,mean_p,win_rate,loss_rate,implied_loss,excess_loss,loss_ratio,mean_minutes_remaining
strict,0.9,2012,1847,0.9264119781312127,0.9179920477137177,0.08200795228628203,0.07358802186878727,0.008419930417494973,1.1144198499112818,21.071380053015243
strict,0.95,1932,1847,0.9684218944099379,0.9560041407867494,0.043995859213250485,0.03157810559006212,0.012417753623188369,1.3932393470460853,14.266563146997932
strict,0.99,1874,1846,0.9956604055496264,0.9850586979722519,0.014941302027748158,0.004339594450373536,0.01060170757737462,3.4430180512517863,7.298203486303805
weak,0.9,2015,1847,0.9258441191066997,0.9166253101736973,0.083374689826303,0.07415588089330023,0.009218808933002478,1.1243166263005806,21.14502894954508
weak,0.95,1932,1847,0.9680977743271222,0.9560041407867494,0.043995859213250485,0.03190222567287785,0.012093633540372697,1.379084320460256,14.334696342305039
weak,0.99,1874,1846,0.9954329775880469,0.9850586979722519,0.014941302027748158,0.004567022411953047,0.010374279615795089,3.271563106115488,7.425969405905373
