x,empirical_exceed,benchmark,abs_gap
0.55,0.6587495494052149,0.6706051698665092,0.011855620461294292
0.5700000000000001,0.6271478351423879,0.6386864336038143,0.011538598461426353
0.5900000000000001,0.5936636359995193,0.6061662585258618,0.012502622526342488
0.6100000000000001,0.5607401770336845,0.5732118660212757,0.012471688987591212
0.63,0.5283374053750951,0.5397558607661475,0.011418455391052351
0.65,0.49505347058116717,0.5059443594134179,0.0108908888322507
0.67,0.46036768534465494,0.4718350711735981,0.011467385828943133
0.6900000000000001,0.42564184723835463,0.4372772505395173,0.011635403301162695
0.7100000000000001,0.39099611487163055,0.4025619957199523,0.011565880848321775
0.73,0.35707133416109266,0.3676244618229272,0.010553127661834527
0.75,0.3217847558777586,0.3323253953250064,0.010540639447247757
0.77,0.2891416670004406,0.29779808152500575,0.00865641452456517
0.79,0.25870148596146914,0.2650189861452582,0.006317500183789071
0.81,0.22774061761525213,0.23385861152500445,0.006117993909752317
0.8300000000000001,0.1994632915448392,0.20419994170572675,0.004736650160887562
0.8500000000000001,0.17222734008891738,0.1759369739955915,0.0037096339066741146
0.8700000000000001,0.14675371490367284,0.14897345307672688,0.002219738173054042
0.8900000000000001,0.12075940241118276,0.12322177579466514,0.0024623733834823885
0.91,0.09640725758000561,0.09860204037115572,0.00219478279115011
0.93,0.07373733327992951,0.07504121829919494,0.0013038850192654272
0.95,0.05274962951095446,0.05247243084079054,2.7719867016391675e-4
