K,curve,n_loss,min_upper_gap,max_upper_gap,mean_abs_upper_gap,gap_t0,gap_t1
100,K = 100,4991,-0.1418733720697255,0,0.07205544237052437,-0.11280304548186736,0
1000,"K = 1,000",5008,-0.04431309904153354,0,0.02406842121911871,-0.036741214057507986,0
10000,"K = 10,000",4966,-0.015445026178010468,0.004103906564639548,0.0057400222503120185,-0.009061619009262988,0
100000,"K = 100,000",5000,-0.014399999999999968,0.005599999999999938,0.005168316831683163,-0.0048,0
1000000,"K = 1,000,000",5025,-0.004328358208955224,0.006567164179104523,0.0020412787547411542,-0.0015920398009950248,0
