scenario,rej_dupper_n1000,rej_dupper_n5000,rej_dlower_n1000,rej_dlower_n5000
Null,0.05,0.05,0.05,0.05
beta = 0.9,0,0,0.4,0.68
beta = 1.1,0.475,1,0.142,0.97
delta = 0.5,0.3,0.95,0.058,0.07
delta = 1.0,0.75,1,0.042,0.09
eta = 1.0,0.033,0.02,0.15,0.24
lambda = 0.5,0,0,0.733,1
lambda = 0.8,0,0,1,1
