league,season,game_id,game_date,home_team,away_team,home_team_abbr,away_team_abbr,home_record,away_record,home_final,away_final,home_won,favorite_team,favorite_record,pregame_favorite_side_odds,pregame_favorite_team_abbr_odds,pregame_spread_abs,pregame_total_line,pregame_home_moneyline,pregame_away_moneyline,pregame_home_spread_odds,pregame_away_spread_odds,pregame_odds_n_providers,pregame_odds_source,winner_team,winner_record,loser_team,loser_record,starting_wp_home,starting_wp_favored,max_wp_loser,pit_u,pit_tail_prob,n_updates,n_missing_time,prop_missing_time,peak_rows,peak_first_update_index,peak_first_play_id,peak_first_sequence_number,peak_first_period_number,peak_first_clock_display,peak_first_game_seconds_remaining,peak_first_minutes_remaining,peak_first_home_score,peak_first_away_score,peak_first_loser_score,peak_first_winner_score,peak_first_loser_score_margin,peak_first_play_text,had_bad_1,n_bad_1_rows,n_bad_1_runs,had_bad_0,n_bad_0_rows,n_bad_0_runs,had_extreme_patch
nfl,2019,401127913,2019-09-06T00:20Z,Chicago Bears,Green Bay Packers,CHI,GB,0-1,1-0,3,10,FALSE,Chicago Bears,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Bay Packers,1-0,Chicago Bears,0-1,0.578,0.578,0.74,0.6486486486486487,0.3513513513513513,189,189,1,1,29,401127913676,67600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127928,2019-09-08T17:00Z,Cleveland Browns,Tennessee Titans,CLE,TEN,0-1,1-0,13,43,FALSE,Cleveland Browns,0-1,home,CLE,5.5,44,-230,206,103,-113,1,nflreadr,Tennessee Titans,1-0,Cleveland Browns,0-1,0.568,0.568,0.699,0.5693848354792559,0.4306151645207441,171,171,1,1,12,401127928302,30200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127954,2019-09-08T17:00Z,Miami Dolphins,Baltimore Ravens,MIA,BAL,0-1,1-0,10,59,FALSE,Baltimore Ravens,1-0,away,BAL,7,41,263,-298,-112,102,1,nflreadr,Baltimore Ravens,1-0,Miami Dolphins,0-1,0.367,0.633,0.379,0.0316622691292876,0.9683377308707124,163,163,1,1,2,40112795436,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127961,2019-09-08T17:00Z,Minnesota Vikings,Atlanta Falcons,MIN,ATL,1-0,0-1,28,12,TRUE,Minnesota Vikings,1-0,home,MIN,3.5,47,-176,159,104,-115,1,nflreadr,Minnesota Vikings,1-0,Atlanta Falcons,0-1,0.594,0.594,0.413,0.016949152542372725,0.9830508474576273,164,164,1,1,2,40112796136,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127963,2019-09-08T17:00Z,New York Jets,Buffalo Bills,NYJ,BUF,0-1,1-0,16,17,FALSE,New York Jets,0-1,home,NYJ,2.5,41,-149,135,-110,-101,1,nflreadr,Buffalo Bills,1-0,New York Jets,0-1,0.594,0.594,0.974,0.9733059548254619,0.026694045174538106,180,180,1,1,110,4011279632696,269600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127968,2019-09-08T17:00Z,Philadelphia Eagles,Washington,PHI,WSH,1-0,0-1,32,27,TRUE,Philadelphia Eagles,1-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philadelphia Eagles,1-0,Washington,0-1,0.78,0.78,0.845,0.8165680473372781,0.18343195266272194,179,179,1,1,61,4011279681474,147400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127923,2019-09-08T17:00Z,Carolina Panthers,Los Angeles Rams,CAR,LAR,0-1,1-0,27,30,FALSE,Los Angeles Rams,1-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles Rams,1-0,Carolina Panthers,0-1,0.487,0.513,0.572,0.25174825174825166,0.7482517482517483,187,187,1,1,31,401127923711,71100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127931,2019-09-08T17:00Z,Jacksonville Jaguars,Kansas City Chiefs,JAX,KC,0-1,1-0,26,40,FALSE,Kansas City Chiefs,1-0,away,KC,3.5,49,163,-181,-110,-101,1,nflreadr,Kansas City Chiefs,1-0,Jacksonville Jaguars,0-1,0.416,0.5840000000000001,0.424,0.018867924528301994,0.981132075471698,162,162,1,1,4,40112793179,7900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127972,2019-09-08T20:05Z,Los Angeles Chargers,Indianapolis Colts,LAC,IND,1-0,0-1,30,24,TRUE,Los Angeles Chargers,1-0,home,LAC,6,44.5,-265,235,-103,-107,1,nflreadr,Los Angeles Chargers,1-0,Indianapolis Colts,0-1,0.68,0.68,0.661,0.5158850226928897,0.4841149773071103,161,161,1,1,148,4011279723556,355600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127995,2019-09-08T20:05Z,Seattle Seahawks,Cincinnati Bengals,SEA,CIN,1-0,0-1,21,20,TRUE,Seattle Seahawks,1-0,home,SEA,9.5,44,-398,344,104,-115,1,nflreadr,Seattle Seahawks,1-0,Cincinnati Bengals,0-1,0.771,0.771,0.6659999999999999,0.6561561561561562,0.3438438438438438,171,171,1,1,115,4011279952881,288100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128007,2019-09-08T20:25Z,Dallas Cowboys,New York Giants,DAL,NYG,1-0,0-1,35,17,TRUE,Dallas Cowboys,1-0,home,DAL,7,44,-308,271,100,-111,1,nflreadr,Dallas Cowboys,1-0,New York Giants,0-1,0.754,0.754,0.534,0.5393258426966292,0.4606741573033708,171,171,1,1,28,401128007672,67200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128010,2019-09-08T20:25Z,Tampa Bay Buccaneers,San Francisco 49ers,TB,SF,0-1,1-0,17,31,FALSE,Tampa Bay Buccaneers,0-1,home,TB,1,51,-108,-102,-104,-106,1,nflreadr,San Francisco 49ers,1-0,Tampa Bay Buccaneers,0-1,0.522,0.522,0.674,0.5163204747774481,0.48367952522255186,169,169,1,1,60,4011280101521,152100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127860,2019-09-09T00:20Z,New England Patriots,Pittsburgh Steelers,NE,PIT,1-0,0-1,33,3,TRUE,New England Patriots,1-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New England Patriots,1-0,Pittsburgh Steelers,0-1,0.652,0.652,0.405,0.14074074074074083,0.8592592592592592,174,174,1,1,8,401127860178,17800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128021,2019-09-09T23:10Z,New Orleans Saints,Houston Texans,NO,HOU,1-0,0-1,30,28,TRUE,New Orleans Saints,1-0,home,NO,6.5,52,-310,273,-113,103,1,nflreadr,New Orleans Saints,1-0,Houston Texans,0-1,0.654,0.654,0.9,0.8888888888888888,0.11111111111111116,172,172,1,1,163,4011280214163,416300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128025,2019-09-10T02:20Z,Oakland Raiders,Denver Broncos,OAK,DEN,1-0,0-1,24,16,TRUE,Oakland Raiders,1-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oakland Raiders,1-0,Denver Broncos,0-1,0.519,0.519,0.5449999999999999,0.16513761467889876,0.8348623853211012,157,157,1,1,3,40112802558,5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128054,2019-09-13T00:20Z,Carolina Panthers,Tampa Bay Buccaneers,CAR,TB,0-2,1-1,14,20,FALSE,Carolina Panthers,0-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tampa Bay Buccaneers,1-1,Carolina Panthers,0-2,0.693,0.693,0.754,0.6737400530503979,0.32625994694960214,185,185,1,1,57,4011280541378,137800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128066,2019-09-15T17:00Z,Cincinnati Bengals,San Francisco 49ers,CIN,SF,0-2,2-0,17,41,FALSE,San Francisco 49ers,2-0,home,CIN,1,46,-107,-103,100,-111,1,nflreadr,San Francisco 49ers,2-0,Cincinnati Bengals,0-2,0.449,0.5509999999999999,0.524,0.14312977099236635,0.8568702290076337,177,177,1,1,23,401128066606,60600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128072,2019-09-15T17:00Z,Detroit Lions,Los Angeles Chargers,DET,LAC,1-0-1,1-1,13,10,TRUE,Los Angeles Chargers,1-1,away,LAC,1,47,-103,-107,-113,102,1,nflreadr,Detroit Lions,1-0-1,Los Angeles Chargers,1-1,0.499,0.501,0.852,0.8262910798122065,0.1737089201877935,159,159,1,1,126,4011280723172,317200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128098,2019-09-15T17:00Z,Green Bay Packers,Minnesota Vikings,GB,MIN,2-0,1-1,21,16,TRUE,Green Bay Packers,2-0,home,GB,3,43,-165,148,-108,-102,1,nflreadr,Green Bay Packers,2-0,Minnesota Vikings,1-1,0.551,0.551,0.503,0.10735586481113335,0.8926441351888666,177,177,1,1,153,4011280983813,381300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128114,2019-09-15T17:00Z,Tennessee Titans,Indianapolis Colts,TEN,IND,1-1,1-1,17,19,FALSE,Tennessee Titans,1-1,home,TEN,3,43.5,-178,160,-120,108,1,nflreadr,Indianapolis Colts,1-1,Tennessee Titans,1-1,0.658,0.658,0.857,0.8331388564760793,0.16686114352392067,167,167,1,1,123,4011281143004,300400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401127862,2019-09-15T17:00Z,Miami Dolphins,New England Patriots,MIA,NE,0-2,2-0,0,43,FALSE,New England Patriots,2-0,away,NE,18,48.5,880,-1300,-109,-101,1,nflreadr,New England Patriots,2-0,Miami Dolphins,0-2,0.142,0.858,0.145,0.020689655172413612,0.9793103448275864,168,168,1,1,2,40112786236,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
nfl,2019,401128106,2019-09-15T17:00Z,New York Giants,Buffalo Bills,NYG,BUF,0-2,2-0,14,28,FALSE,Buffalo Bills,2-0,away,BUF,1,44.5,102,-113,-103,-108,1,nflreadr,Buffalo Bills,2-0,New York Giants,0-2,0.494,0.506,0.702,0.5754985754985753,0.4245014245014247,182,182,1,1,11,401128106233,23300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,0,0,FALSE
