"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
401030784,2018,0.907,6,27,0.91,9,0.9,"p0=0.90"
401030785,2018,0.76,27,17,0.941,6,0.75,"p0=0.75"
401030786,2018,0.562,20,30,0.773,2,0.55,"p0=0.55"
401030787,2018,0.66,28,20,0.926,4,0.65,"p0=0.65"
401030788,2018,0.783,27,14,0.491,7,0.8,"p0=0.80"
401030789,2018,0.834,6,25,0.353,8,0.85,"p0=0.85"
401030790,2018,0.578,31,21,0.645,3,0.6,"p0=0.60"
401030791,2018,0.693,22,27,0.79,5,0.7,"p0=0.70"
401030792,2018,0.72,20,19,0.402,5,0.7,"p0=0.70"
401030793,2018,0.735,26,10,0.409,6,0.75,"p0=0.75"
401030794,2018,0.816,6,9,0.839,7,0.8,"p0=0.80"
401030795,2018,0.647,38,27,0.353,4,0.65,"p0=0.65"
401030796,2018,0.689,23,20,0.467,5,0.7,"p0=0.70"
401030797,2018,0.757,18,28,0.833,6,0.75,"p0=0.75"
401030798,2018,0.729,35,23,0.282,6,0.75,"p0=0.75"
401030799,2018,0.538,24,13,0.541,2,0.55,"p0=0.55"
401030800,2018,0.522,10,45,0.478,1,0.5,"p0=0.50"
401030801,2018,0.555,14,16,0.901,2,0.55,"p0=0.55"
401030802,2018,0.612,26,10,0.641,3,0.6,"p0=0.60"
401030803,2018,0.602,21,23,0.688,3,0.6,"p0=0.60"
401030804,2018,0.705,45,10,0.301,5,0.7,"p0=0.70"
401030805,2018,0.533,27,30,0.706,2,0.55,"p0=0.55"
401030806,2018,0.739,26,23,0.956,6,0.75,"p0=0.75"
401030807,2018,0.698,17,21,0.984,5,0.7,"p0=0.70"
401030808,2018,0.654,31,33,0.764,4,0.65,"p0=0.65"
401030809,2018,0.545,17,37,0.516,2,0.55,"p0=0.55"
401030810,2018,0.758,34,22,0.245,6,0.75,"p0=0.75"
401030811,2018,0.805,42,28,0.204,7,0.8,"p0=0.80"
401030812,2018,0.529,35,36,0.978,2,0.55,"p0=0.55"
401030813,2018,0.644,21,24,0.86,4,0.65,"p0=0.65"
401030814,2018,0.786,21,37,0.258,7,0.8,"p0=0.80"
401030815,2018,0.939,26,14,0.189,10,0.95,"p0=0.95"
401030816,2018,0.612,13,6,0.507,3,0.6,"p0=0.60"
401030817,2018,0.522,15,6,0.666,1,0.5,"p0=0.50"
401030818,2018,0.864,16,13,0.683,8,0.85,"p0=0.85"
401030819,2018,0.585,16,23,0.697,3,0.6,"p0=0.60"
401030820,2018,0.523,32,34,0.929,1,0.5,"p0=0.50"
401030821,2018,0.626,34,10,0.626,4,0.65,"p0=0.65"
401030822,2018,0.734,24,9,0.383,6,0.75,"p0=0.75"
401030823,2018,0.6,26,20,0.751,3,0.6,"p0=0.60"
401030824,2018,0.61,9,23,0.529,3,0.6,"p0=0.60"
401030825,2018,0.643,34,20,0.528,4,0.65,"p0=0.65"
401030826,2018,0.501,14,38,0.507,1,0.5,"p0=0.50"
401030827,2018,0.597,20,14,0.641,3,0.6,"p0=0.60"
401030828,2018,0.549,3,16,0.621,2,0.55,"p0=0.55"
401030829,2018,0.507,17,19,0.65,1,0.5,"p0=0.50"
401030830,2018,0.511,21,32,0.517,1,0.5,"p0=0.50"
401030831,2018,0.584,19,16,0.735,3,0.6,"p0=0.60"
401030832,2018,0.503,31,38,0.805,1,0.5,"p0=0.50"
401030833,2018,0.794,37,5,0.298,7,0.8,"p0=0.80"
401030834,2018,0.612,43,19,0.394,3,0.6,"p0=0.60"
401030835,2018,0.61,7,20,0.616,3,0.6,"p0=0.60"
401030836,2018,0.611,23,24,0.936,3,0.6,"p0=0.60"
401030837,2018,0.527,20,17,0.542,2,0.55,"p0=0.55"
401030838,2018,0.742,10,39,0.345,6,0.75,"p0=0.75"
401030839,2018,0.798,38,31,0.477,7,0.8,"p0=0.80"
401030840,2018,0.728,31,12,0.277,6,0.75,"p0=0.75"
401030841,2018,0.723,38,7,0.309,5,0.7,"p0=0.70"
401030842,2018,0.56,26,23,1,2,0.55,"p0=0.55"
401030843,2018,0.606,34,37,1,3,0.6,"p0=0.60"
401030844,2018,0.755,22,0,0.266,6,0.75,"p0=0.75"
401030845,2018,0.688,26,24,0.721,5,0.7,"p0=0.70"
401030846,2018,0.617,48,10,0.383,3,0.6,"p0=0.60"
401030847,2018,0.664,36,37,0.919,4,0.65,"p0=0.65"
401030848,2018,0.673,17,20,0.788,4,0.65,"p0=0.65"
401030849,2018,0.521,36,21,0.739,1,0.5,"p0=0.50"
401030850,2018,0.896,48,32,0.123,9,0.9,"p0=0.90"
401030851,2018,0.904,26,21,0.257,9,0.9,"p0=0.90"
401030852,2018,0.519,17,25,0.73,1,0.5,"p0=0.50"
401030853,2018,0.661,10,41,0.661,4,0.65,"p0=0.65"
401030854,2018,0.673,29,23,0.615,4,0.65,"p0=0.65"
401030855,2018,0.5,45,35,0.578,1,0.5,"p0=0.50"
401030856,2018,0.943,27,24,0.442,10,0.95,"p0=0.95"
401030858,2018,0.682,31,17,0.595,5,0.7,"p0=0.70"
401030859,2018,0.754,6,20,0.474,6,0.75,"p0=0.75"
401030860,2018,0.561,3,17,0.535,2,0.55,"p0=0.55"
401030861,2018,0.736,28,27,0.848,6,0.75,"p0=0.75"
401030862,2018,0.747,14,28,0.905,6,0.75,"p0=0.75"
401030863,2018,0.735,24,21,0.88,6,0.75,"p0=0.75"
401030864,2018,0.554,32,30,0.808,2,0.55,"p0=0.55"
401030865,2018,0.771,36,31,0.609,6,0.75,"p0=0.75"
401030866,2018,0.509,7,17,0.683,1,0.5,"p0=0.50"
401030867,2018,0.653,21,7,0.481,4,0.65,"p0=0.65"
401030868,2018,0.758,25,16,0.733,6,0.75,"p0=0.75"
401030869,2018,0.737,20,27,0.765,6,0.75,"p0=0.75"
401030870,2018,0.68,38,44,0.977,5,0.7,"p0=0.70"
401030871,2018,0.68,28,13,0.533,5,0.7,"p0=0.70"
401030872,2018,0.603,26,18,0.481,3,0.6,"p0=0.60"
401030873,2018,0.565,23,27,0.855,2,0.55,"p0=0.55"
401030874,2018,0.634,28,29,0.999,4,0.65,"p0=0.65"
