league,sample,weighting,bin_id,bin_lower,bin_upper,n_games,n_updates,mean_forecast,observed_rate,gap,standard_error,simultaneous_critical_value,gap_ci_lower,gap_ci_upper,observed_ci_lower,observed_ci_upper
nba,preterminal,equal_game,0,0,0.05,3787,326665,0.017957611164330166,0.06759968312648534,0.04964207196215521,0.006940511741666813,2.733077590505297,0.03067311485436676,0.06861102906994367,0.048630726018696925,0.08656864023427382
nba,preterminal,equal_game,1,0.05,0.1,4025,134494,0.07501516183957299,0.13391304347826086,0.058897881638687595,0.00957693914422726,2.733077590505297,0.03272336387796709,0.0850723993994081,0.10773852571754008,0.1600875612389811
nba,preterminal,equal_game,2,0.1,0.15000000000000002,4351,128000,0.1256088201747218,0.19351873132613193,0.06790991115141044,0.010568708444170223,2.733077590505297,0.03902481094206471,0.09679501136075618,0.16463363111678653,0.222403831535478
nba,preterminal,equal_game,3,0.15000000000000002,0.2,4635,126137,0.1759327085903929,0.24314994606256743,0.06721723747217385,0.011517659917217203,2.733077590505297,0.035738579257366426,0.09869589568698128,0.21167128784775932,0.2746286042773742
nba,preterminal,equal_game,4,0.2,0.25,4941,131140,0.22559722008181893,0.29589151993523577,0.07029429985341748,0.011850328751873335,2.733077590505297,0.037906431901551865,0.1026821678052831,0.2635036519833708,0.32827938788710204
nba,preterminal,equal_game,5,0.25,0.30000000000000004,5270,139666,0.2754595911041264,0.3396584440227704,0.06419885291864362,0.012218817936535837,2.733077590505297,0.030803875433833353,0.09759383040345389,0.3062634665379597,0.37305342150758025
nba,preterminal,equal_game,6,0.30000000000000004,0.35000000000000003,5554,145987,0.32600997435455836,0.38278718041051496,0.05677720605595529,0.012196489279393843,2.733077590505297,0.023443254523605885,0.09011115758830471,0.34945322887816427,0.41612113194286304
nba,preterminal,equal_game,7,0.35000000000000003,0.4,5775,147395,0.37555171445143476,0.4176623376623377,0.04211062321090315,0.012105192061851469,2.733077590505297,0.009026194057894288,0.07519505236391201,0.38457790850932905,0.45074676681534676
nba,preterminal,equal_game,8,0.4,0.45,5991,153615,0.42507302749352194,0.4586880320480721,0.0336150045545486,0.011874824512247667,2.733077590505297,0.0011601877889415094,0.06606982132015568,0.42623321528246344,0.49114284881367765
nba,preterminal,equal_game,9,0.45,0.5,6245,166607,0.47463291283938386,0.4931945556445156,0.018561642805133644,0.01189056054257944,2.733077590505297,-0.013936181752336727,0.051059467362604014,0.4606967310870471,0.5256923802019878
nba,preterminal,equal_game,10,0.5,0.55,6354,176841,0.5247994173906649,0.5295876613157067,0.0047882439250407196,0.011730836463526469,2.733077590505297,-0.02727304233130588,0.03684953018138732,0.49752637505935904,0.5616489475720523
nba,preterminal,equal_game,11,0.55,0.6000000000000001,6397,180718,0.5749560059690728,0.5676098171017665,-0.007346188867305542,0.011664752802306095,2.733077590505297,-0.039226863350072194,0.024534485615461107,0.5357291426190006,0.5994904915845339
nba,preterminal,equal_game,12,0.6000000000000001,0.65,6394,179757,0.6250432535087611,0.6010322177040975,-0.02401103580466262,0.011359565566802659,2.733077590505297,-0.05505760989316657,0.007035538283841326,0.5699856436155946,0.6320787917926024
