league,method,rms_gap,maximum_absolute_gap,significant_cells,n_cells
nba,linear,0.027088290796277687,0.06536911942098915,2,196
nba,locf,0.027664241189750714,0.06536911942098915,3,195
nfl,linear,0.028649031097553106,0.08505360916109668,8,197
nfl,locf,0.026115175795376342,0.07287326203208558,8,197
