key,value,formatted,source,league,analysis,sample,estimand
NBACrossingNinetyFiveEpisodes,8663,"8,663",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,episodes
NBACrossingNinetyFiveGames,8156,"8,156",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,games
NBACrossingNinetyFiveImplied,0.0420602562622653,4.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,implied_loss
NBACrossingNinetyFiveLoss,0.0651044672746162,6.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,observed_loss
NBACrossingNinetyFiveResidual,0.0230442110123508,2.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,residual
NBACrossingNinetyFiveStrictCILower,0.014678789971613,1.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,ci_lower
NBACrossingNinetyFiveStrictCIUpper,0.0319964334376087,3.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,ci_upper
NBACrossingNinetyFiveStrictEpisodes,8654,"8,654",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,episodes
NBACrossingNinetyFiveStrictGames,8154,"8,154",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,games
NBACrossingNinetyFiveStrictImplied,0.0411594638317539,4.1\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,implied_loss
