key,value,formatted,source,league,analysis,sample,estimand
NFLCrossingNinetyNineEpisodes,1705,"1,705",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,episodes
NFLCrossingNinetyNineGames,1686,"1,686",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,games
NFLCrossingNinetyNineImplied,0.00501853372434016,0.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,implied_loss
NFLCrossingNinetyNineLoss,0.0164222873900293,1.6\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,observed_loss
NFLCrossingNinetyNineResidual,0.0114037536656891,1.1\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,residual
NFLCrossingNinetyResidual,0.00941028368794326,0.9\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,residual
NFLDyadicCalendarGlobalD,0.0146002276283967,0.015,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,dyadic_calendar,D_upper
NFLDyadicCalendarGlobalP,0.8563,\ensuremath{0.856},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,dyadic_calendar,p_value
NFLEligibleGames,1848,"1,848",feed_coverage_by_season.csv,nfl,coverage,all,eligible_games
NFLExcludePatchedGlobalD,0.0136881787228554,0.014,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,exclude_patched,D_upper
NFLExcludePatchedGlobalP,0.7686,\ensuremath{0.769},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,exclude_patched,p_value
NFLFixedClockExcluded,0,0,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nfl,fixed_clock,linear,excluded_games
NFLFixedClockGames,1848,"1,848",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nfl,fixed_clock,linear,games
NFLFixedClockLOCFCells,197,197,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,fixed_clock_summary,locf,cells
NFLFixedClockLOCFRMS,0.0261151757953763,2.6\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,fixed_clock_summary,locf,rms_gap
NFLFixedClockLOCFSignificantCells,8,8,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,fixed_clock_summary,locf,significant_cells
NFLFixedClockLinearCells,197,197,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,fixed_clock_summary,linear,cells
NFLFixedClockLinearRMS,0.0286490310975531,2.9\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,fixed_clock_summary,linear,rms_gap
NFLFixedClockLinearSignificantCells,8,8,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,fixed_clock_summary,linear,significant_cells
NFLFranchiseLinkedGlobalD,0.0146002276283967,0.015,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,franchise_linked,D_upper
NFLFranchiseLinkedGlobalP,0.7045,\ensuremath{0.705},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,franchise_linked,p_value
NFLGames,1848,"1,848",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,corrected,n
NFLGlobalCritical,0.0470311189839189,0.047,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,corrected,critical_value
NFLGlobalD,0.0146002276283967,0.015,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,corrected,D_upper
NFLGlobalDyadicP,0.7364,\ensuremath{0.736},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,corrected,p_value
NFLLOSODMax,0.0254009485623945,0.025,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nfl,leave_one_season_out,all,D_max
NFLLOSODMin,0.00786537011996146,0.008,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nfl,leave_one_season_out,all,D_min
NFLLOSOTailMax,0.000126903553299487,0.0\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nfl,leave_one_season_out,all,tail_max
NFLLOSOTailMin,-0.0104519774011299,-1.0\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nfl,leave_one_season_out,all,tail_min
NFLLeaveSeasonRows,"2018 & 1,594 & 0.017 & -0.7\% \\
2019 & 1,593 & 0.013 & -0.3\% \\
2020 & 1,593 & 0.014 & -1.0\% \\
2021 & 1,577 & 0.013 & -0.3\% \\
2022 & 1,579 & 0.008 & -0.8\% \\
2023 & 1,576 & 0.024 & -0.4\% \\
2024 & 1,576 & 0.025 & 0.0\% \\","
2018 & 1,594 & 0.017 & -0.7\% \\
2019 & 1,593 & 0.013 & -0.3\% \\
2020 & 1,593 & 0.014 & -1.0\% \\
2021 & 1,577 & 0.013 & -0.3\% \\
2022 & 1,579 & 0.008 & -0.8\% \\
2023 & 1,576 & 0.024 & -0.4\% \\
2024 & 1,576 & 0.025 & 0.0\% \\
",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nfl,leave_one_season_out,season,rows
NFLMedianUpdatesPerGame,175,175,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nfl,feed,all,median_updates
NFLMinimumFeedCoverage,1,100.0\%,feed_coverage_by_season.csv,nfl,coverage,all,minimum_coverage
NFLMissingCoverageRows,"2018 & 254 & 0 & 100.0\% \\
2019 & 255 & 0 & 100.0\% \\
2020 & 255 & 0 & 100.0\% \\
2021 & 271 & 0 & 100.0\% \\
2022 & 269 & 0 & 100.0\% \\
2023 & 272 & 0 & 100.0\% \\
2024 & 272 & 0 & 100.0\% \\","
2018 & 254 & 0 & 100.0\% \\
2019 & 255 & 0 & 100.0\% \\
2020 & 255 & 0 & 100.0\% \\
2021 & 271 & 0 & 100.0\% \\
2022 & 269 & 0 & 100.0\% \\
2023 & 272 & 0 & 100.0\% \\
2024 & 272 & 0 & 100.0\% \\
",feed_coverage_by_season.csv,nfl,coverage,season,rows
NFLMissingFeedGames,0,0,feed_coverage_by_season.csv,nfl,coverage,all,missing_games
NFLNonfinalGames,1,1,feed_coverage_by_season.csv,nfl,coverage,all,cancelled_or_nonfinal_games
NFLPatchedGames,4,4,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/patch-audit.csv,nfl,artifact_audit,exact_one,games
NFLPublishedUpdates,325922,"325,922",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nfl,feed,all,updates
NFLRawGlobalD,0.0146002276283967,0.015,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,raw,D_upper
NFLRawGlobalP,0.7353,\ensuremath{0.735},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,raw,p_value
NFLRoundingLowerGlobalD,0.0133747419377805,0.013,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,rounding_lower,D_upper
NFLRoundingLowerGlobalP,0.7752,\ensuremath{0.775},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,rounding_lower,p_value
NFLRoundingLowerTailNinetyFiveRate,0.0449134199134199,4.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,rounding_lower,tail_rate
NFLRoundingUpperGlobalD,0.0164925654056077,0.016,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,rounding_upper,D_upper
NFLRoundingUpperGlobalP,0.6786,\ensuremath{0.679},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,global,rounding_upper,p_value
NFLRoundingUpperTailNinetyFiveRate,0.0454545454545454,4.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,rounding_upper,tail_rate
NFLScheduledGames,1856,"1,856",feed_coverage_by_season.csv,nfl,coverage,all,scheduled_games
NFLTailNinetyCILower,-0.0348025301738311,-3.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,ci_lower
NFLTailNinetyCIUpper,0.00678750254521014,0.7\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,ci_upper
NFLTailNinetyExcess,-0.01504329004329,-1.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,tail_excess
NFLTailNinetyFiveAtomRate,0,0.00\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,boundary,atom,tail_rate
NFLTailNinetyFiveCILower,-0.0198098658845187,-2.0\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,ci_lower
NFLTailNinetyFiveCIUpper,0.0114039355866568,1.1\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,ci_upper
NFLTailNinetyFiveExcess,-0.00508658008658013,-0.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,tail_excess
NFLTailNinetyFiveRate,0.0449134199134199,4.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,tail_rate
NFLTailNinetyFiveStrictRate,0.0449134199134199,4.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,boundary,strict,tail_rate
NFLTailNinetyNineCILower,-0.00311673971472144,-0.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,ci_lower
NFLTailNinetyNineCIUpper,0.0154095304103682,1.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,ci_upper
NFLTailNinetyNineExcess,0.00515151515151514,0.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,tail_excess
NFLTailNinetyNineRate,0.0151515151515152,1.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,tail_rate
NFLTailNinetyRate,0.08495670995671,8.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,tail,corrected,tail_rate
NFLTiedGames,7,7,feed_coverage_by_season.csv,nfl,coverage,all,tied_games
NFLUpdateQOne,167,167,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nfl,feed,all,q25_updates
NFLUpdateQThree,185,185,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nfl,feed,all,q75_updates
SimulationBaseGrid,1000,"1,000",/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/simulation/null_pit_profile.csv,,simulation,coarsening,K_base
SimulationCoarseningN,50000,"50,000",/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/simulation/null_tail_summary.csv,,simulation,coarsening,n
ValidationInnerReplicates,399,399,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,,,,
ValidationNBARhoFiftyDyadic,0.044,4.4\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,nba,validation,0.5,dyadic_rejection_rate
ValidationNBARhoTwentyFiveDyadic,0.032,3.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,nba,validation,0.25,dyadic_rejection_rate
ValidationNBARhoZeroDyadic,0,0.0\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,nba,validation,0,dyadic_rejection_rate
ValidationNFLRhoFiftyDyadic,0.032,3.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,nfl,validation,0.5,dyadic_rejection_rate
ValidationNFLRhoTwentyFiveDyadic,0.008,0.8\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,nfl,validation,0.25,dyadic_rejection_rate
ValidationNFLRhoZeroDyadic,0,0.0\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,nfl,validation,0,dyadic_rejection_rate
ValidationOuterSamples,250,250,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dyadic-bootstrap-validation.csv,,,,
