league,method,time_index,regulation_fraction,n_games,n_bins,gap_min,gap_max,band_lower,band_upper,max_abs_gap,significant_cells
nba,linear,0,0,8265,10,-0.03912559808612438,0.009178016726403823,-0.1534455182234246,0.13322427814056592,0.03912559808612438,0
nba,linear,1,0.05,8265,10,-0.04736595874454359,0.024695834814062095,-0.16247898253358595,0.14929006942204337,0.04736595874454359,0
nba,linear,2,0.1,8265,10,-0.03836363748538762,0.03822460786582608,-0.15124973727354948,0.1575154177257013,0.03836363748538762,0
nba,linear,3,0.15000000000000002,8265,10,-0.04717367605135364,0.05496782885384584,-0.17276477197054912,0.16121751078905266,0.05496782885384584,0
nba,linear,4,0.2,8265,10,-0.04004688666586479,0.05469112583074769,-0.16522366019289558,0.1576161990463515,0.05469112583074769,0
nba,linear,5,0.25,8265,10,-0.03005515587529979,0.04634382566585956,-0.1584749937741674,0.1642780330081841,0.04634382566585956,0
nba,linear,6,0.30000000000000004,8265,10,-0.03676033851035255,0.040184686401345066,-0.14061734809151674,0.15483725541727447,0.040184686401345066,0
nba,linear,7,0.35000000000000003,8265,10,-0.033284321036175214,0.04597738040164395,-0.1486324490673862,0.14737223722116072,0.04597738040164395,0
nba,linear,8,0.4,8265,10,-0.03159519295703522,0.04540098362138317,-0.1443418758096415,0.1606251244304583,0.04540098362138317,0
nba,linear,9,0.45,8265,10,-0.0382649561234272,0.0585786519125027,-0.1366058128222789,0.16705392632346217,0.0585786519125027,0
nba,linear,10,0.5,8265,10,-0.03128705436781293,0.04667148014440432,-0.14265582838213897,0.17245224432406764,0.04667148014440432,0
nba,linear,11,0.55,8265,10,-0.03342297210317734,0.05212357604611258,-0.1403229338481988,0.175670259179319,0.05212357604611258,0
nba,linear,12,0.6000000000000001,8265,10,-0.03749453008648517,0.05005820291974482,-0.13073848096437282,0.173322214114949,0.05005820291974482,0
nba,linear,13,0.65,8265,10,-0.03130670301727256,0.044616107512868076,-0.1332852500811153,0.16350352730445672,0.044616107512868076,0
nba,linear,14,0.7000000000000001,8265,10,-0.024412766853862487,0.050298059991476914,-0.12803828013092933,0.16644617494599734,0.050298059991476914,0
nba,linear,15,0.75,8265,10,-0.020891072363011125,0.06536911942098915,-0.11099338543808818,0.17718407785744217,0.06536911942098915,0
nba,linear,16,0.8,8265,10,-0.021756210123395306,0.05971759536326721,-0.11719771864803401,0.17716184101788648,0.05971759536326721,1
nba,linear,17,0.8500000000000001,8265,10,-0.01116862494879711,0.0513835047617691,-0.11869476492315159,0.17291926104393737,0.0513835047617691,0
nba,linear,18,0.9,8265,9,-0.027910393598275334,0.04054698933771233,-0.11165040608169896,0.15806240605915656,0.04054698933771233,1
nba,linear,19,0.95,8265,7,-0.0054723315688227055,0.05411738545584544,-0.10435472079047162,0.17754760808661565,0.05411738545584544,0
nba,locf,0,0,8265,10,-0.03912559808612438,0.009178016726403823,-0.1470299112853561,0.12678596626629762,0.03912559808612438,0
nba,locf,1,0.05,8265,10,-0.049051744885679906,0.031533007334963295,-0.15259301566010902,0.15386219354083272,0.049051744885679906,0
nba,locf,2,0.1,8265,10,-0.04052460984393759,0.02824205378973105,-0.15215968618998296,0.1388670651860616,0.04052460984393759,0
nba,locf,3,0.15000000000000002,8265,10,-0.04329079754601227,0.053590024330900224,-0.16697633058236222,0.1548259684477335,0.053590024330900224,0
nba,locf,4,0.2,8265,10,-0.0402581032412965,0.06018712029161604,-0.1558007944205192,0.15801407424879754,0.06018712029161604,0
nba,locf,5,0.25,8265,10,-0.03005515587529979,0.04634382566585956,-0.1518096823185051,0.15695623984409218,0.04634382566585956,0
nba,locf,6,0.30000000000000004,8265,10,-0.03354698795180722,0.043051932367149756,-0.14466624758977145,0.1521198362335812,0.043051932367149756,0
nba,locf,7,0.35000000000000003,8265,10,-0.03299879227053141,0.038976800976800965,-0.142197831315222,0.1453639789470405,0.038976800976800965,0
nba,locf,8,0.4,8265,10,-0.03573944511459589,0.04049331713244229,-0.1533358050285245,0.15003819559835138,0.04049331713244229,0
nba,locf,9,0.45,8265,10,-0.039431680773881525,0.051126520681265206,-0.13557540322437894,0.15530898143391014,0.051126520681265206,0
nba,locf,10,0.5,8265,10,-0.031306024096385526,0.04495767835550183,-0.1367024062127295,0.16375038866473757,0.04495767835550183,0
nba,locf,11,0.55,8265,10,-0.03408262454434995,0.052785114045618226,-0.1315097783034861,0.1692741315803255,0.052785114045618226,0
nba,locf,12,0.6000000000000001,8265,10,-0.04497293972939728,0.05842060606060605,-0.13857173866672357,0.1760495703138575,0.05842060606060605,0
nba,locf,13,0.65,8265,10,-0.028831719128329283,0.04711942098914356,-0.12558167459805358,0.1566292350567291,0.04711942098914356,0
nba,locf,14,0.7000000000000001,8265,10,-0.026946601941747576,0.052165458937198095,-0.12918979532840882,0.16388973273307642,0.052165458937198095,0
nba,locf,15,0.75,8265,10,-0.020911989795918313,0.06536911942098915,-0.10476955737868868,0.17138060126399085,0.06536911942098915,0
nba,locf,16,0.8,8265,10,-0.013946601941747573,0.0635409638554217,-0.1249104372976683,0.16838169623443383,0.0635409638554217,1
nba,locf,17,0.8500000000000001,8265,9,-0.016175970873786406,0.05624278846153847,-0.1098315302011389,0.16097890805404846,0.05624278846153847,1
nba,locf,18,0.9,8265,9,-0.03401328502415459,0.042191051995163244,-0.11705000773383767,0.1576351308900366,0.042191051995163244,1
nba,locf,19,0.95,8265,7,-0.002109243697478965,0.05801204819277105,-0.09702172445989067,0.17631418076992342,0.05801204819277105,0
nfl,linear,0,0,1848,10,-0.050370652173913066,0.022351612903225807,-0.31998178218186885,0.3004671488723905,0.050370652173913066,0
nfl,linear,1,0.05,1848,10,-0.08505360916109668,0.05324870153249375,-0.3329263437415241,0.29628522053376866,0.08505360916109668,0
nfl,linear,2,0.1,1848,10,-0.06536931039665542,0.04125647770040454,-0.33340567026994383,0.29430534683836657,0.06536931039665542,0
nfl,linear,3,0.15000000000000002,1848,10,-0.0570814273202896,0.023983561413348183,-0.3211662842336631,0.28869698889360873,0.0570814273202896,0
nfl,linear,4,0.2,1848,10,-0.054468993804783546,0.038720324694250775,-0.31746924767340123,0.2977809286981926,0.054468993804783546,0
nfl,linear,5,0.25,1848,10,-0.06104767724245988,0.03240869565217392,-0.32343010987958437,0.2680479690499004,0.06104767724245988,0
nfl,linear,6,0.30000000000000004,1848,10,-0.06363554750998773,0.039935222671250575,-0.3307058334252285,0.26391235536050756,0.06363554750998773,0
nfl,linear,7,0.35000000000000003,1848,10,-0.0568389247576288,0.033377933170141184,-0.3234399137968366,0.3011420234203034,0.0568389247576288,0
nfl,linear,8,0.4,1848,10,-0.07786980369353663,0.03341852165987262,-0.3212639879404061,0.2549212574142628,0.07786980369353663,0
nfl,linear,9,0.45,1848,10,-0.0739489546614707,0.060533590330683194,-0.3352937946665525,0.25761782394201627,0.0739489546614707,0
nfl,linear,10,0.5,1848,10,-0.054812499999999965,0.013870652173913048,-0.2997498304130069,0.26888242139893487,0.054812499999999965,0
nfl,linear,11,0.55,1848,10,-0.03745759324899702,0.03143334639206242,-0.31039263264996736,0.2690899032221312,0.03745759324899702,0
nfl,linear,12,0.6000000000000001,1848,10,-0.0721366484486256,0.05784376046336668,-0.32883948698396176,0.29291823199334244,0.0721366484486256,1
nfl,linear,13,0.65,1848,10,-0.0457109176411634,0.040879072176073214,-0.3051991634661496,0.28316788277597366,0.0457109176411634,0
nfl,linear,14,0.7000000000000001,1848,10,-0.030987352796713153,0.036931060861980246,-0.3013219279033639,0.27639953630210023,0.036931060861980246,0
nfl,linear,15,0.75,1848,10,-0.028896756756756747,0.04714098360655736,-0.27351488770684795,0.28414925792377166,0.04714098360655736,0
nfl,linear,16,0.8,1848,10,-0.025043051645260182,0.07077458280551935,-0.2866012723441096,0.3171154893680168,0.07077458280551935,2
