league,method,time_index,regulation_fraction,bin_id,bin_lower,bin_upper,n_games,mean_forecast,observed_rate,gap,standard_error,simultaneous_critical_value,gap_ci_lower,gap_ci_upper,observed_ci_lower,observed_ci_upper,significant
nba,linear,0,0,1,0.017,0.315,825,0.23815757575757576,0.23393939393939378,-0.00421818181818182,0.02578357783189283,4.343577085455024,-0.11621113966983765,0.10777477603347402,0.12194643608773811,0.34593235179104975,FALSE
nba,linear,0,0,2,0.316,0.403,814,0.36332923832923836,0.35626535626535627,-0.007063882063882041,0.027797091718046077,4.343577085455024,-0.1278026926926786,0.11367492856491453,0.23552654563655975,0.47700416689415287,FALSE
nba,linear,0,0,3,0.404,0.476,837,0.4400454002389486,0.4492234169653524,0.009178016726403823,0.028558549548837416,4.343577085455024,-0.11486824468775829,0.13322427814056592,0.3251771555511903,0.5732696783795146,FALSE
nba,linear,0,0,4,0.477,0.532,827,0.5043700120918985,0.5030229746070132,-0.001347037484885112,0.029823687023494954,4.343577085455024,-0.13088852104392013,0.12819444607414993,0.37348149104797834,0.6325644581660483,FALSE
nba,linear,0,0,5,0.533,0.585,816,0.5585833333333333,0.5404411764705882,-0.01814215686274508,0.028605328523802008,4.343577085455024,-0.1423916063606445,0.10610729263515432,0.4161917269726888,0.6646906259684876,FALSE
nba,linear,0,0,6,0.586,0.637,824,0.6112123786407767,0.6080097087378642,-0.0032026699029126023,0.030339122539377397,4.343577085455024,-0.1349829873577643,0.1285776475519391,0.47622939128301245,0.7397900261927158,FALSE
nba,linear,0,0,7,0.638,0.695,839,0.6651168057210965,0.635280095351609,-0.029836710369487488,0.02845783680640909,4.343577085455024,-0.1534455182234246,0.09377209748444962,0.511671287497672,0.7588889032055461,FALSE
nba,linear,0,0,8,0.696,0.753,818,0.7237921760391198,0.7053789731051344,-0.018413202933985306,0.027230527873862116,4.343577085455024,-0.1366910998317371,0.0998646939637665,0.5871010762073827,0.8236568700028863,FALSE
nba,linear,0,0,9,0.754,0.82,829,0.7851797346200241,0.7563329312424608,-0.028846803377563342,0.026402520743043795,4.343577085455024,-0.14352818747529933,0.08583458072017264,0.6416515471447248,0.8710143153401968,FALSE
nba,linear,0,0,10,0.821,0.986,836,0.8716614832535885,0.8325358851674641,-0.03912559808612438,0.021615401465082625,4.343577085455024,-0.13301376058276823,0.054762564410519465,0.7386477226708202,0.9264240476641079,FALSE
nba,linear,1,0.05,1,0.03192307692307693,0.296,826,0.21647397782871164,0.23607748184019378,0.019603504011482052,0.02539257911924747,4.343577085455024,-0.09069112079148497,0.1298981288144491,0.12578285703722666,0.34637210664316076,FALSE
nba,linear,1,0.05,2,0.2962173913043478,0.39321428571428574,826,0.3493961748711679,0.3740920096852302,0.024695834814062095,0.02868470667303215,4.343577085455024,-0.09989839979391918,0.14929006942204337,0.24949777507724874,0.4986862442932113,FALSE
nba,linear,1,0.05,3,0.3932857142857143,0.46485714285714286,827,0.4305260522000722,0.42805320435308347,-0.002472847846988726,0.02987857729682204,4.343577085455024,-0.13225275153946164,0.12730705584548418,0.29827330066061053,0.5578331080455563,FALSE
nba,linear,1,0.05,4,0.464904761904762,0.5288333333333334,825,0.4965379275352113,0.46909090909090917,-0.027447018444302244,0.031087732859963284,4.343577085455024,-0.16247898253358595,0.10758494564498144,0.33405894500162536,0.6041228731801928,FALSE
nba,linear,1,0.05,5,0.5288461538461539,0.5862857142857142,828,0.5581132362825049,0.5458937198067634,-0.01221951647574156,0.03040815519013104,4.343577085455024,-0.144299682570555,0.11986064961907188,0.41381355371194983,0.6779738859015767,FALSE
nba,linear,1,0.05,6,0.5863749999999999,0.6442,826,0.6157803711031504,0.5895883777239709,-0.026191993379179473,0.028944402484383694,4.343577085455024,-0.15191423676253596,0.09953025000417702,0.46386613434061447,0.7153106211073275,FALSE
nba,linear,1,0.05,7,0.64425,0.701,827,0.6717670569764358,0.6324062877871828,-0.03936076918925323,0.027587883646292975,4.343577085455024,-0.15919086843149077,0.08046933005298433,0.512576188544945,0.7522363870294201,FALSE
nba,linear,1,0.05,8,0.7012173913043478,0.7607692307692308,825,0.7309977658652814,0.7236363636363637,-0.007361402228917751,0.02626146203316004,4.343577085455024,-0.12143008694669881,0.10670728248886331,0.6095676789185827,0.8377050483541447,FALSE
nba,linear,1,0.05,9,0.761,0.831875,828,0.7945803749960824,0.7898550724637683,-0.004725302532314211,0.024177568565520755,4.343577085455024,-0.10974243533552785,0.10029183027089944,0.6848379396605545,0.8948722052669817,FALSE
nba,linear,1,0.05,10,0.832,0.985,827,0.8841253299658254,0.8367593712212816,-0.04736595874454359,0.02171784081651874,4.343577085455024,-0.1416990744607342,0.04696715697164704,0.7424262555050911,0.9310924869374724,FALSE
nba,linear,2,0.1,1,0.02441666666666666,0.27029411764705885,826,0.190886583106029,0.2227602905569009,0.03187370745087174,0.02558412873108357,4.343577085455024,-0.07925292785679439,0.14300034275853785,0.1116336552492346,0.3338869258645668,FALSE
nba,linear,2,0.1,2,0.27031578947368423,0.37275,826,0.32497151804216423,0.36319612590799044,0.03822460786582608,0.027463725752521914,4.343577085455024,-0.08106620199404915,0.1575154177257013,0.24390531604811508,0.4824869357678655,FALSE
nba,linear,2,0.1,3,0.3732272727272727,0.45362500000000006,827,0.4140248303864546,0.3941958887545343,-0.01982894163192014,0.030256351632783784,4.343577085455024,-0.15124973727354948,0.1115918540097092,0.26277509311290514,0.5256166843961638,FALSE
nba,linear,2,0.1,4,0.45366666666666666,0.5269230769230769,821,0.4911148797461253,0.47746650426309384,-0.013648375483031529,0.030551872038480615,4.343577085455024,-0.14635278678713,0.11905603582106697,0.3447620929589953,0.6101709155671923,FALSE
nba,linear,2,0.1,5,0.527,0.5886153846153845,832,0.5573350689364058,0.5444711538461539,-0.012863915090252009,0.029489552339877045,4.343577085455024,-0.14095405889406853,0.11522622871356453,0.4163810100423373,0.6725612976499704,FALSE
nba,linear,2,0.1,6,0.5886190476190476,0.6505555555555556,826,0.6196476533252557,0.6004842615012106,-0.019163391824045087,0.028473666620048722,4.343577085455024,-0.14284095769377433,0.10451417404568415,0.47680669563148137,0.7241618273709399,FALSE
nba,linear,2,0.1,7,0.6506666666666667,0.7118333333333333,827,0.6810093334422697,0.6662636033857317,-0.01474573005653814,0.02765815815137657,4.343577085455024,-0.1348810720287485,0.10538961191567223,0.5461282614135212,0.7863989453579419,FALSE
nba,linear,2,0.1,8,0.7118888888888888,0.7743684210526316,826,0.7423209536821118,0.7142857142857142,-0.028035239396397498,0.025000940486355004,4.343577085455024,-0.13662875160775387,0.08055827281495888,0.6056922020743579,0.8228792264970707,FALSE
nba,linear,2,0.1,9,0.7745,0.8482,827,0.8110523733673899,0.7835550181378478,-0.027497355229542282,0.023343908878027144,4.343577085455024,-0.12889342291709108,0.07389871245800653,0.6821589504502988,0.8849510858253964,FALSE
nba,linear,2,0.1,10,0.84825,0.9888,827,0.8968884258771651,0.8585247883917774,-0.03836363748538762,0.02084919318355297,4.343577085455024,-0.1289237152476934,0.052196440276918145,0.7679647106294717,0.9490848661540833,FALSE
nba,linear,3,0.15000000000000002,1,0.01123076923076922,0.246421052631579,826,0.1677924617030549,0.22276029055690072,0.05496782885384584,0.024461332179644357,4.343577085455024,-0.05128185308136099,0.16121751078905266,0.1165106086216939,0.32900997249210756,FALSE
nba,linear,3,0.15000000000000002,2,0.2464999999999998,0.3510000000000004,826,0.30312984159351225,0.31355932203389836,0.010429480440386076,0.026535954830293286,4.343577085455024,-0.1048314849011454,0.12569044578191754,0.19829835669236684,0.42882028737542977,FALSE
nba,linear,3,0.15000000000000002,3,0.3511818181818181,0.44175,827,0.3987252226485072,0.41475211608222495,0.01602689343371772,0.027607606676425138,4.343577085455024,-0.10388887431025766,0.1359426611776931,0.2948363483382495,0.5346678838262002,FALSE
nba,linear,3,0.15000000000000002,4,0.4417647058823529,0.5185000000000002,826,0.48055405224631853,0.4987893462469733,0.018235294000654795,0.031993912608576126,4.343577085455024,-0.12073273168000703,0.15720331968131662,0.3598213205663115,0.6377573719276352,FALSE
nba,linear,3,0.15000000000000002,5,0.5185789473684209,0.5888571428571426,825,0.5549804350844811,0.5296969696969699,-0.025283465387511393,0.03228124672962972,4.343577085455024,-0.16549954897225097,0.11493261819722819,0.3894808861122302,0.6699130532817094,FALSE
nba,linear,3,0.15000000000000002,6,0.5889999999999996,0.6541666666666666,828,0.6208451736358946,0.5736714975845412,-0.04717367605135364,0.028914209060488864,4.343577085455024,-0.17276477197054912,0.07841741986784184,0.4480804016653455,0.6992625935037364,FALSE
nba,linear,3,0.15000000000000002,7,0.6542499999999996,0.7226666666666671,827,0.6893063895672454,0.6807738814993954,-0.008532508067849996,0.025876614633983386,4.343577085455024,-0.12092957844117037,0.10386456230547038,0.5683768111260751,0.7931709518727158,FALSE
nba,linear,3,0.15000000000000002,8,0.7227500000000001,0.7891875,826,0.7559008420584138,0.7215496368038741,-0.03435120525453971,0.026297475571898682,4.343577085455024,-0.1485763175539521,0.07987390704487266,0.6073245245044617,0.8357747491032864,FALSE
nba,linear,3,0.15000000000000002,9,0.7892222222222222,0.8608095238095238,827,0.8239542415827502,0.7968561064087061,-0.027098135174044035,0.02366083820096918,4.343577085455024,-0.12987080980643265,0.07567453945834457,0.6940834317763176,0.8996287810410948,FALSE
nba,linear,3,0.15000000000000002,10,0.8609999999999999,0.991375,827,0.9088343032255924,0.8730350665054414,-0.035799236720151104,0.019296208084422235,4.343577085455024,-0.1196138039918195,0.0480153305515173,0.7892204992337729,0.9568496337771097,FALSE
nba,linear,4,0.2,1,0.01019999999999999,0.22335294117647064,826,0.14627739717167362,0.2009685230024212,0.05469112583074769,0.023695924163579473,4.343577085455024,-0.04823394738485611,0.1576161990463515,0.0980434497868175,0.30389359621802514,FALSE
nba,linear,4,0.2,2,0.22354545454545455,0.33153846153846156,826,0.28132106820109354,0.30387409200968524,0.0225530238085917,0.0288442230516701,4.343577085455024,-0.10273408248639615,0.14784013010357955,0.1785869857146974,0.4291611983046731,FALSE
nba,linear,4,0.2,3,0.3318571428571429,0.42677777777777787,827,0.3808767904932775,0.39903264812575573,0.01815585763247825,0.02919900306107255,4.343577085455024,-0.1086722629817276,0.1449839782466841,0.2722045275115499,0.5258607687399616,FALSE
nba,linear,4,0.2,4,0.4268181818181818,0.50655,826,0.4666112368139298,0.4600484261501209,-0.00656281066380875,0.02911961961933833,4.343577085455024,-0.1330461231795333,0.11992050185191579,0.3335651136343965,0.5865317386658456,FALSE
nba,linear,4,0.2,5,0.5067619047619047,0.5866363636363636,827,0.5460772374607771,0.5501813784764209,0.0041041410156437775,0.029523792873669803,4.343577085455024,-0.12413472918614872,0.13234301121743627,0.42194250827462837,0.6784202486782134,FALSE
nba,linear,4,0.2,6,0.5866666666666666,0.6556923076923077,826,0.6211606881186493,0.5811138014527846,-0.04004688666586479,0.028818821691043512,4.343577085455024,-0.16522366019289558,0.08512988686116602,0.45593702792575375,0.7062905749798154,FALSE
nba,linear,4,0.2,7,0.6557499999999998,0.7291875,827,0.6927846969437876,0.6807738814993953,-0.012010815444392234,0.025830546346235904,4.343577085455024,-0.12420778465868651,0.10018615376990203,0.5685769122851011,0.7929708507136897,FALSE
nba,linear,4,0.2,8,0.7293333333333333,0.802,826,0.7648020232580868,0.7493946731234867,-0.015407350134600076,0.026211756429054482,4.343577085455024,-0.12926013472936954,0.09844543446016937,0.6355418885287172,0.8632474577182562,FALSE
nba,linear,4,0.2,9,0.8021333333333334,0.8733076923076921,827,0.8366356619078078,0.8065296251511487,-0.03010603675665905,0.023163805951829652,4.343577085455024,-0.13071981350095305,0.07050773998763493,0.7059158484068547,0.9071434018954427,FALSE
nba,linear,4,0.2,10,0.8734999999999999,0.996,827,0.9200008084626197,0.89359129383313185,-0.026409514629487825,0.017119849835728798,4.343577085455024,-0.1007709020823904,0.04795187282341474,0.8192299063802293,0.9679526812860344,FALSE
nba,linear,5,0.25,1,0,0.208,826,0.13162227602905568,0.17796610169491528,0.04634382566585956,0.022873056502738597,4.343577085455024,-0.05300705843375384,0.14569470976547297,0.07861521759530185,0.2773169857945287,FALSE
nba,linear,5,0.25,2,0.209,0.31400000000000006,823,0.2634633633914512,0.3037667071688942,0.04030334377744306,0.02854207184347776,4.343577085455024,-0.08367134545329798,0.1642780330081841,0.17979201793815325,0.4277413963996353,FALSE
nba,linear,5,0.25,3,0.31499999999999995,0.413,830,0.3647814147679828,0.3674698795180722,0.0026884647500894803,0.03039145240520581,4.343577085455024,-0.12931915151085943,0.13469608101103842,0.23546226325712338,0.49947749577902123,FALSE
nba,linear,5,0.25,4,0.4139999999999999,0.505,822,0.45963503649635035,0.45377128953771295,-0.005863746958637485,0.030729635061925848,4.343577085455024,-0.13934028565801387,0.12761279174073892,0.3202947508383365,0.5872478282370892,FALSE
nba,linear,5,0.25,5,0.506,0.5840000000000001,819,0.5454920634920635,0.5433455433455434,-0.0021465201465201357,0.030640182938653525,4.343577085455024,-0.13523451665300557,0.13094147635996528,0.4102575468390579,0.6764335398520287,FALSE
nba,linear,5,0.25,6,0.585,0.661,834,0.6223812949640288,0.592326139088729,-0.03005515587529979,0.029565456160291586,4.343577085455024,-0.1584749937741674,0.09836468202356784,0.4639063011898614,0.7207459769875967,FALSE
nba,linear,5,0.25,7,0.662,0.74,829,0.700092882991556,0.6924004825090471,-0.007692400482509035,0.026262585088391452,4.343577085455024,-0.12176596327725896,0.10638116231224089,0.5783269197142971,0.806474045303797,FALSE
nba,linear,5,0.25,8,0.741,0.811,816,0.7766214798561794,0.747549019607843,-0.02907246024833625,0.027508997450341,4.343577085455024,-0.1485599112174781,0.09041499072080561,0.6280615686387012,0.867036470576985,FALSE
nba,linear,5,0.25,9,0.812,0.884,835,0.8476790419161676,0.8263473053892215,-0.02133173652694607,0.022413025915330682,4.343577085455024,-0.11868444230848604,0.0760209692545939,0.7289945996076815,0.9237000111707615,FALSE
nba,linear,5,0.25,10,0.885,1,831,0.9307593261131167,0.9169675090252707,-0.013791817087845973,0.015861492781734144,4.343577085455024,-0.08268743367569667,0.05510379950000472,0.8480718924374201,0.9858631256131215,FALSE
nba,linear,6,0.30000000000000004,1,0.005,0.18991666666666693,824,0.11565238695017507,0.1492718446601943,0.033619457710019104,0.021664345951687612,4.343577085455024,-0.060481298937101524,0.12772021435713973,0.05517108801307355,0.2433726013073148,FALSE
nba,linear,6,0.30000000000000004,2,0.189999999999999,0.30266666666666714,828,0.248462656593824,0.288647342995169,0.040184686401345066,0.02639588679106374,4.343577085455024,-0.07446788261458434,0.15483725541727447,0.17399477397923965,0.4032999120110985,FALSE
nba,linear,6,0.30000000000000004,3,0.3026999999999997,0.4034999999999996,827,0.35321547787730795,0.3760580411124549,0.022842563235146735,0.0281726956277701,4.343577085455024,-0.09952771192913443,0.1452128383994279,0.25368776594817355,0.49842831627673584,FALSE
nba,linear,6,0.30000000000000004,4,0.4037142857142864,0.4994285714285712,826,0.4528330491569254,0.4455205811138014,-0.007312468043123934,0.029540705348833223,4.343577085455024,-0.13562479888449458,0.1209998627982467,0.3172082502724308,0.5738329119551722,FALSE
nba,linear,6,0.30000000000000004,5,0.4994666666666669,0.586,827,0.5427526353826905,0.5525997581620313,0.009847122779341022,0.030290026316679222,4.343577085455024,-0.1217199414476165,0.14141418700629854,0.421032693935074,0.684166822388989,FALSE
nba,linear,6,0.30000000000000004,6,0.5861428571428571,0.6678947368421054,826,0.6278965147596225,0.6138014527845036,-0.014095061975118934,0.029128592316243793,4.343577085455024,-0.14061734809151674,0.11242722414127888,0.4872791666681058,0.7403237389009014,FALSE
nba,linear,6,0.30000000000000004,7,0.6679999999999994,0.7469000000000001,826,0.7075681404561723,0.6949152542372882,-0.012652886218884206,0.027606614971308417,4.343577085455024,-0.13256434641523906,0.10725857397747064,0.5750037940409333,0.814826714433643,FALSE
nba,linear,6,0.30000000000000004,8,0.7469999999999989,0.8209285714285717,826,0.7844212947218261,0.7566585956416465,-0.027762699080179642,0.02526058115455245,4.343577085455024,-0.1374839805483707,0.0819585823880114,0.6469373141734553,0.8663798771098374,FALSE
nba,linear,6,0.30000000000000004,9,0.8210000000000002,0.8955294117647058,828,0.8580163771576955,0.8212560386473429,-0.03676033851035255,0.023694623576493212,4.343577085455024,-0.13967976252569084,0.06615908550498573,0.7183366146320047,0.9241754626626812,FALSE
nba,linear,6,0.30000000000000004,10,0.8956153846153845,0.997,827,0.9401092005510905,0.9262394195888755,-0.013869780962215007,0.015538966004292672,4.343577085455024,-0.08136447763012528,0.053624915705695254,0.8587447229209653,0.9937341162567858,FALSE
nba,linear,7,0.35000000000000003,1,0.00266666666666665,0.1699230769230771,825,0.09826504384078029,0.14424242424242417,0.04597738040164395,0.01969484605053156,4.343577085455024,-0.03956870160500932,0.1315234624082972,0.05869634223577097,0.22978850624907748,FALSE
nba,linear,7,0.35000000000000003,2,0.1700000000000002,0.28959999999999975,827,0.2324072564451277,0.2527206771463118,0.02031342070118429,0.026833733449686432,4.343577085455024,-0.0962409690280817,0.13686781043045027,0.136166287417046,0.369275066875578,FALSE
nba,linear,7,0.35000000000000003,3,0.2896666666666668,0.39419999999999983,827,0.3441133888784917,0.366384522370012,0.022271133491520396,0.028801400612540294,4.343577085455024,-0.10282997023811992,0.14737223722116072,0.24128341864037178,0.4914856260996524,FALSE
nba,linear,7,0.35000000000000003,4,0.3944285714285722,0.4950588235294115,826,0.4452797760585751,0.45762711864406797,0.01234734258549269,0.030182202844688085,4.343577085455024,-0.11875138207924993,0.14344606725023532,0.3265283939793252,0.5887258433088104,FALSE
nba,linear,7,0.35000000000000003,5,0.4953999999999992,0.5889130434782611,824,0.5414952905608813,0.5485436893203884,0.007048398759506979,0.028367893018921644,4.343577085455024,-0.11616973132012062,0.1302665288391346,0.42532555924076065,0.6717618194000159,FALSE
nba,linear,7,0.35000000000000003,6,0.5889999999999993,0.6720000000000005,827,0.631805529820534,0.6384522370012092,0.006646707180675211,0.028175240241280153,4.343577085455024,-0.11573462070853954,0.12902803506988997,0.5160709091119944,0.7608335648904239,FALSE
nba,linear,7,0.35000000000000003,7,0.6722500000000001,0.7544000000000007,829,0.7137785062668826,0.683956574185766,-0.029821932081116567,0.0273531503295108,4.343577085455024,-0.1486324490673862,0.08898858490515309,0.5651460571994964,0.8027670911720356,FALSE
nba,linear,7,0.35000000000000003,8,0.7544444444444446,0.8310588235294115,826,0.7935748779369016,0.7602905569007266,-0.033284321036175214,0.02603314819329128,4.343577085455024,-0.1463613069908101,0.07979266491845965,0.6472135709460916,0.8733675428553613,FALSE
nba,linear,7,0.35000000000000003,9,0.8313333333333333,0.906,827,0.8695876214917297,0.841596130592503,-0.02799149089922668,0.0202813111055193,4.343577085455024,-0.11608492908014481,0.06010194728169146,0.753502692411585,0.9296895687734212,FALSE
nba,linear,7,0.35000000000000003,10,0.9063333333333335,0.9984375,827,0.9487829847073158,0.9310761789600969,-0.01770680574721914,0.014791186758659614,4.343577085455024,-0.0819534656188188,0.046539854124380525,0.866829519088497,0.9953228388316964,FALSE
nba,linear,8,0.4,1,0.001,0.1498,826,0.08285303046758036,0.1222760290556901,0.039422998588109714,0.018822878805539022,4.343577085455024,-0.04233562647392662,0.12118162365014605,0.040517403993653736,0.20403465411772642,FALSE
nba,linear,8,0.4,2,0.14999999999999994,0.26940000000000014,826,0.21125761202026333,0.25665859564164656,0.04540098362138317,0.026527476902601,4.343577085455024,-0.06982315718769194,0.1606251244304583,0.1414344548325714,0.3718827364507216,FALSE
nba,linear,8,0.4,3,0.26960000000000006,0.3817368421052632,827,0.3282625886594832,0.35308343409915355,0.02482084543967036,0.027130680906360467,4.343577085455024,-0.0930233584579891,0.14266504933732982,0.23523923020149412,0.47092763799681303,FALSE
nba,linear,8,0.4,4,0.38192857142857145,0.4895714285714287,825,0.4368267797104552,0.45454545454545453,0.017718674834999372,0.02989075051479937,4.343577085455024,-0.11211410416813614,0.14755145383813487,0.3247126755423191,0.5843782335485901,FALSE
nba,linear,8,0.4,5,0.4899999999999999,0.5865,828,0.5371266942720303,0.5229468599033817,-0.014179834368648702,0.029570489740330323,4.343577085455024,-0.14262153601043037,0.11426186727313298,0.39450515826159993,0.6513885615451633,FALSE
nba,linear,8,0.4,6,0.5867000000000001,0.6758125,826,0.6314454479810958,0.6452784503631962,0.013833002382100328,0.029098240034367374,4.343577085455024,-0.11255744625824782,0.1402234510224485,0.518888001722848,0.7716688990035443,FALSE
nba,linear,8,0.4,7,0.675888888888889,0.7590869565217392,827,0.7182936706379182,0.6989117291414754,-0.019381941496442966,0.028768899884761223,4.343577085455024,-0.1443418758096415,0.10557799281675556,0.5739517948282766,0.8238716634546737,FALSE
nba,linear,8,0.4,8,0.7592941176470587,0.8403333333333333,826,0.8020366998187938,0.7723970944309928,-0.029639605387801075,0.023695215557405377,4.343577085455024,-0.13256160071786446,0.07328238994226233,0.6694750991009293,0.8753190897610561,FALSE
