"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
400975884,2018,0.646,107,93,0.588,4,0.65,"p0=0.65"
400975882,2018,0.585,122,124,0.656,3,0.6,"p0=0.60"
400975883,2018,0.629,105,96,0.457,4,0.65,"p0=0.65"
400975881,2018,0.829,104,93,0.54,8,0.85,"p0=0.85"
400975880,2018,0.566,92,93,0.719,2,0.55,"p0=0.55"
400975877,2018,0.587,107,102,0.884,3,0.6,"p0=0.60"
400975878,2018,0.973,104,103,0.957,10,0.95,"p0=0.95"
400975879,2018,0.651,122,124,0.939,4,0.65,"p0=0.65"
400975876,2018,0.694,91,101,0.416,5,0.7,"p0=0.70"
400975875,2018,0.718,82,90,0.789,5,0.7,"p0=0.70"
400975874,2018,0.827,107,116,0.87,8,0.85,"p0=0.85"
400975873,2018,0.628,103,106,0.621,4,0.65,"p0=0.65"
400975872,2018,0.553,103,99,0.81,2,0.55,"p0=0.55"
400975871,2018,0.82,103,92,0.254,7,0.8,"p0=0.80"
400975870,2018,0.542,103,92,0.633,2,0.55,"p0=0.55"
400975869,2018,0.658,103,93,0.883,4,0.65,"p0=0.65"
400975868,2018,0.715,99,111,0.561,5,0.7,"p0=0.70"
400975867,2018,0.613,94,97,0.895,3,0.6,"p0=0.60"
400975865,2018,0.64,108,103,0.903,4,0.65,"p0=0.65"
400975866,2018,0.82,126,114,0.337,7,0.8,"p0=0.80"
400975862,2018,0.607,105,118,0.747,3,0.6,"p0=0.60"
400975863,2018,0.619,104,111,0.619,3,0.6,"p0=0.60"
400975864,2018,0.788,118,101,0.373,7,0.8,"p0=0.80"
400975860,2018,0.826,81,92,0.951,8,0.85,"p0=0.85"
400975861,2018,0.665,105,98,0.806,4,0.65,"p0=0.65"
400975859,2018,0.593,97,103,0.503,3,0.6,"p0=0.60"
400975856,2018,0.565,98,79,0.459,2,0.55,"p0=0.55"
400975857,2018,0.944,118,86,0.071,10,0.95,"p0=0.95"
400975858,2018,0.56,97,98,0.876,2,0.55,"p0=0.55"
400975855,2018,0.797,114,110,0.79,7,0.8,"p0=0.80"
400975854,2018,0.534,110,96,0.713,2,0.55,"p0=0.55"
400975853,2018,0.772,94,102,0.455,6,0.75,"p0=0.75"
400975852,2018,0.828,93,101,0.858,8,0.85,"p0=0.85"
400975849,2018,0.724,137,128,0.792,5,0.7,"p0=0.70"
400975850,2018,0.64,112,106,0.725,4,0.65,"p0=0.65"
400975851,2018,0.645,123,104,0.736,4,0.65,"p0=0.65"
400975848,2018,0.784,91,110,0.877,7,0.8,"p0=0.80"
400975847,2018,0.927,114,93,0.073,10,0.95,"p0=0.95"
400975846,2018,0.633,105,108,0.803,4,0.65,"p0=0.65"
400975843,2018,0.793,106,117,0.962,7,0.8,"p0=0.80"
400975844,2018,0.762,97,101,0.793,6,0.75,"p0=0.75"
400975845,2018,0.737,93,104,0.704,6,0.75,"p0=0.75"
400975842,2018,0.588,113,107,0.783,3,0.6,"p0=0.60"
400975841,2018,0.534,106,103,0.657,2,0.55,"p0=0.55"
400975840,2018,0.569,114,121,0.815,2,0.55,"p0=0.55"
400975839,2018,0.536,98,102,0.731,2,0.55,"p0=0.55"
400975837,2018,0.836,114,91,0.174,8,0.85,"p0=0.85"
400975838,2018,0.532,93,100,0.88,2,0.55,"p0=0.55"
400975835,2018,0.802,117,95,0.213,7,0.8,"p0=0.80"
400975836,2018,0.771,105,99,0.713,6,0.75,"p0=0.75"
400975834,2018,0.61,120,108,0.472,3,0.6,"p0=0.60"
400975833,2018,0.96,106,94,0.514,10,0.95,"p0=0.95"
400975832,2018,0.556,100,105,0.939,2,0.55,"p0=0.55"
400975829,2018,0.614,105,118,0.752,3,0.6,"p0=0.60"
400975830,2018,0.739,105,99,0.69,6,0.75,"p0=0.75"
400975826,2018,0.848,120,95,0.397,8,0.85,"p0=0.85"
400975827,2018,0.649,104,108,0.793,4,0.65,"p0=0.65"
400975828,2018,0.899,116,112,0.898,9,0.9,"p0=0.90"
400975824,2018,0.559,109,104,0.632,2,0.55,"p0=0.55"
400975825,2018,0.616,100,108,0.698,3,0.6,"p0=0.60"
400975823,2018,0.574,101,90,0.654,2,0.55,"p0=0.55"
400975822,2018,0.557,112,119,0.532,2,0.55,"p0=0.55"
