"bin_center","n","mean_max_wp","sd_max_wp"
0.5,720,0.716327777777778,0.152471938841667
0.55,1393,0.713092605886576,0.151133972913319
0.6,1303,0.697495011511896,0.165671309785377
0.65,1188,0.687849326599327,0.187548113522408
0.7,1034,0.663673114119923,0.211269297079012
0.75,953,0.615658971668416,0.239049228795236
0.8,766,0.555472584856397,0.260879605428392
0.85,520,0.504675,0.285855610084804
0.9,286,0.428356643356643,0.295331438089703
