"bin_center","n","mean_max_wp","sd_max_wp","ks_stat","ks_pvalue","kl_div"
0.5,186,0.675319892473118,0.129289821016067,0.0806371488550229,0.177917971737099,0.916404072074881
0.55,352,0.665447443181818,0.142643319617922,0.0826947386203442,0.0162266408662841,0.684669213686972
0.6,321,0.660352024922118,0.159954988406737,0.0601994465618962,0.195074320890109,0.739773401715665
0.65,304,0.661913486842105,0.18231105572243,0.0767719767332771,0.0555546759060176,0.111542399180923
0.7,214,0.600410747663551,0.222535729950502,0.0553425459967518,0.528618696723725,0.792659197656291
0.75,179,0.583221229050279,0.245624420053404,0.0675656774257246,0.387279984532393,1.11134649919867
0.8,129,0.581293798449612,0.262334228833163,0.180022712684541,0.000467476019056805,0.31424019957038
